model_a,model_b,source_tasks,align_mode,n_common,n_fit,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,R2_E,rel_err_E,norm_A_E,norm_b_E,R2_U,rel_err_U,norm_A_U,norm_b_U
Qwen2.5-3B-Instruct,Qwen2.5-32B-Instruct,task2_model_series,string,151643,24000,2048,5120,151936,152064,True,False,0.2166986360642934,0.8836958254018644,24.776700973510742,0.190216526389122,0.2543345888520092,0.8536799401574298,28.011388778686523,0.14210474491119385
Qwen2.5-1.5B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,string,151643,24000,1536,8192,151936,152064,True,False,0.2220144623846214,0.8801970481662843,16.38608169555664,0.12768684327602386,0.13609854632225393,0.9062020482418239,13.878654479980469,0.1605529934167862
Qwen2.5-7B-Instruct,Qwen2.5-14B-Instruct,task2_model_series,id,151643,24000,3584,5120,152064,152064,False,False,0.27384204819024494,0.8503259647991029,87.07237243652344,0.04867437109351158,0.3532014504246559,0.7980524458326671,72.89794921875,0.27886664867401123
Qwen2.5-3B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,string,151643,24000,2048,8192,151936,152064,True,False,0.25559079218198744,0.860973935096848,18.04349136352539,0.09606629610061646,0.1742259451493804,0.8858933530458275,16.226181030273438,0.11908175051212311
Qwen2.5-7B-Instruct,Qwen2.5-32B-Instruct,task2_model_series,id,151643,24000,3584,5120,152064,152064,False,False,0.2899807195360026,0.8413395950381002,92.03568267822266,0.039571601897478104,0.35935431008394925,0.7911207723881214,74.67981719970703,0.3016778826713562
Qwen2.5-14B-Instruct,Qwen2.5-32B-Instruct,task2_model_series,id,151643,24000,5120,5120,152064,152064,False,False,0.5025459856565946,0.7042310295144755,102.1641845703125,0.025527620688080788,0.6690877235012821,0.5685742788801434,61.63838195800781,0.08651737868785858
Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,id,151643,24000,5120,8192,152064,152064,False,False,0.38794390478263596,0.7807195417258418,75.47015380859375,0.027406683191657066,0.37304947790386744,0.771974563524932,34.7315673828125,0.12441535294055939
Qwen2.5-32B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,id,151643,24000,5120,8192,152064,152064,False,False,0.3921387550822435,0.7780395321538857,77.31016540527344,0.030289100483059883,0.3870992956682926,0.7632756656317853,34.005428314208984,0.11874271929264069
Qwen3-0.6B,Qwen3-4B,task2_model_series,id,151643,24000,1024,2560,151936,151936,True,True,0.23924857790865695,0.8368326947097331,18.51327133178711,0.17623066902160645,0.23924857790865695,0.8368326947097331,18.51327133178711,0.17623066902160645
Qwen3-0.6B,Qwen3-1.7B,task2_model_series,id,151643,24000,1024,2048,151936,151936,True,True,0.32700545103112655,0.7998857993447721,30.79139518737793,0.22622527182102203,0.32700545103112655,0.7998857993447721,30.79139518737793,0.22622527182102203
Qwen3-0.6B,Qwen3-8B,task2_model_series,id,151643,24000,1024,4096,151936,151936,True,False,0.13593786699134114,0.9219919865477004,18.382740020751953,0.3579016625881195,0.18955912989203183,0.8770229620800799,25.44704246520996,0.21094973385334015
Qwen3-0.6B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,1024,2048,151936,151936,True,False,0.20618990003744997,0.8871157206532677,14.625800132751465,0.17008735239505768,0.265851365504325,0.8263179000212018,21.063270568847656,0.16612473130226135
Qwen3-0.6B,Qwen3-14B,task2_model_series,id,151643,24000,1024,5120,151936,151936,True,False,0.14888008539651842,0.9134437151778171,18.123565673828125,0.40735533833503723,0.1527073609487909,0.9114848612755881,21.006946563720703,0.20438802242279053
Qwen3-1.7B,Qwen3-4B,task2_model_series,id,151643,24000,2048,2560,151936,151936,True,True,0.38276368544094796,0.7539780491862681,19.19853401184082,0.1850009262561798,0.38276368544094796,0.7539780491862681,19.19853401184082,0.1850009262561798
