model_a,model_b,hidden_dim,vocab,rank_frac,rank_affine,rank_delta_param_matched,rank_delta_no_overbudget,affine_params_with_bias,delta_params_with_bias,delta_no_overbudget_params_with_bias,delta_over_affine_params,delta_no_overbudget_over_affine_params,full_hh_params,affine_params_over_full_hh,identity_R2,full_affine_R2,reported_full_affine_R2,rank_affine_R2,param_matched_delta_R2,no_overbudget_delta_R2,rank_affine_update_gain,param_matched_delta_update_gain,no_overbudget_delta_update_gain,rank_affine_gain_over_delta_gain,rank_affine_gain_over_no_overbudget_delta_gain,rank_affine_fraction_of_full_affine_gain,A_I_energy_at_rank_affine,pred_energy_at_rank_affine,delta_energy_at_param_matched_rank,delta_energy_at_no_overbudget_rank,delta_energy_at_same_rank_not_param_matched,full_affine_update_gain,centered_delta_over_Yc_energy
Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,0.05,52,1,0,107520,153984,1024,1.4321428571428572,0.009523809523809525,1048576,0.1025390625,0.9821210165079378,0.9876894496558482,0.9876894506828213,0.9857659280420099,0.9827709732895543,0.9821210165079378,0.20386570275039986,0.036353117161560346,0.0,5.607929076463537,inf,0.654566812109411,0.6687540071972569,0.654566812109411,0.036353117161560346,0.0,0.34605094857972096,0.31145132777725315,0.017878983492062236
Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,0.1,103,1,1,211968,153984,153984,0.7264492753623188,0.7264492753623188,1048576,0.2021484375,0.9821210165079378,0.9876894496558482,0.9876894506828213,0.9862495957149781,0.9827709732895543,0.9827709732895543,0.23091800542649496,0.036353117161560346,0.036353117161560346,6.3520826673611035,6.3520826673611035,0.7414256573394518,0.7419030860137091,0.7414256573394518,0.036353117161560346,0.036353117161560346,0.4359612763130898,0.31145132777725315,0.017878983492062236
Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,0.001,3,1,0,14336,156032,2048,10.883928571428571,0.14285714285714285,4194304,0.00341796875,0.9912145794555884,0.9938152295635725,0.9938152314061097,0.9918405287895651,0.9915725575514164,0.9912145794555884,0.071248647780987,0.04074683665036411,0.0,1.7485688126504004,inf,0.2406895614504081,0.5254943340371263,0.2406895614504081,0.04074683665036411,0.0,0.08924000021160189,0.29601885246555293,0.008785420544411506
Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,0.002,5,1,0,22528,156032,2048,6.926136363636363,0.09090909090909091,4194304,0.00537109375,0.9912145794555884,0.9938152295635725,0.9938152314061097,0.9920326263406796,0.9915725575514164,0.9912145794555884,0.09311414074668467,0.04074683665036411,0.0,2.2851869838551653,inf,0.31455476558716866,0.5648097987672528,0.31455476558716866,0.04074683665036411,0.0,0.12167924184620127,0.29601885246555293,0.008785420544411506
Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,0.005,11,1,0,47104,156032,2048,3.3125,0.043478260869565216,4194304,0.01123046875,0.9912145794555884,0.9938152295635725,0.9938152314061097,0.9923182522065427,0.9915725575514164,0.9912145794555884,0.12562548888525518,0.04074683665036411,0.0,3.083073416550303,inf,0.42438340612064207,0.631310380176715,0.42438340612064207,0.04074683665036411,0.0,0.1753603331561299,0.29601885246555293,0.008785420544411506
Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,0.01,21,1,0,88064,156032,2048,1.7718023255813953,0.023255813953488372,4194304,0.02099609375,0.9912145794555884,0.9938152295635725,0.9938152314061097,0.9925345771707282,0.9915725575514164,0.9912145794555884,0.15024866578293927,0.04074683665036411,0.0,3.687370066839205,inf,0.5075645166904476,0.6815801145928437,0.5075645166904476,0.04074683665036411,0.0,0.22072284470639567,0.29601885246555293,0.008785420544411506
Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,0.02,41,1,1,169984,156032,156032,0.9179216867469879,0.9179216867469879,4194304,0.04052734375,0.9912145794555884,0.9938152295635725,0.9938152314061097,0.992742551756388,0.9915725575514164,0.9915725575514164,0.1739213613139467,0.04074683665036411,0.04074683665036411,4.26834021021832,4.26834021021832,0.587534746065491,0.7234076653028936,0.587534746065491,0.04074683665036411,0.04074683665036411,0.2712835581458716,0.29601885246555293,0.008785420544411506
Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,0.05,103,3,2,423936,464000,310016,1.0945048309178744,0.731280193236715,4194304,0.10107421875,0.9912145794555884,0.9938152295635725,0.9938152314061097,0.9929973409199102,0.9919985903868307,0.9918226143424306,0.20292272354062396,0.08924000021160189,0.06920953684214017,2.273898734418004,2.932005223549896,0.6855060812866223,0.7753776679609014,0.6855060812866223,0.08924000021160189,0.06920953684214017,0.35859675729570567,0.29601885246555293,0.008785420544411506
Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,0.1,205,5,5,841728,771968,771968,0.9171228710462287,0.9171228710462287,4194304,0.20068359375,0.9912145794555884,0.9938152295635725,0.9938152314061097,0.9931843295706236,0.9922835827667325,0.9922835827667325,0.2242066962051332,0.12167924184620127,0.12167924184620127,1.842604316096277,1.842604316096277,0.7574068149298824,0.8163059566234067,0.7574068149298824,0.12167924184620127,0.12167924184620127,0.450456850860063,0.29601885246555293,0.008785420544411506
Qwen3-4B-Base,Qwen3-4B,2560,151936,0.001,3,1,0,17920,157056,2560,8.764285714285714,0.14285714285714285,6553600,0.002734375,0.9859308098198453,0.9901264025115812,0.9901264236933547,0.9867470074384999,0.9863663985270086,0.9859308098198453,0.05801312003059226,0.030960467630730345,0.0,1.873780484278291,inf,0.1945369054203505,0.3125324686146432,0.1945369054203505,0.030960467630730345,0.0,0.06955565550693865,0.29821138516231127,0.014069190180154734
Qwen3-4B-Base,Qwen3-4B,2560,151936,0.002,6,1,0,33280,157056,2560,4.719230769230769,0.07692307692307693,6553600,0.005078125,0.9859308098198453,0.9901264025115812,0.9901264236933547,0.9871495448444834,0.9863663985270086,0.9859308098198453,0.0866243905322422,0.030960467630730345,0.0,2.7979031701143193,inf,0.29047982351543705,0.39522549413669905,0.29047982351543705,0.030960467630730345,0.0,0.1098949833598288,0.29821138516231127,0.014069190180154734
Qwen3-4B-Base,Qwen3-4B,2560,151936,0.005,13,1,0,69120,157056,2560,2.272222222222222,0.037037037037037035,6553600,0.010546875,0.9859308098198453,0.9901264025115812,0.9901264236933547,0.9876326987763615,0.9863663985270086,0.9859308098198453,0.12096566573652737,0.030960467630730345,0.0,3.9071007317880695,inf,0.40563731552599125,0.49023670213671483,0.40563731552599125,0.030960467630730345,0.0,0.15969487758572057,0.29821138516231127,0.014069190180154734
