model_a,model_b,series,hidden_dim,is_anomaly,k_5pct,rank95_A_minus_I,kappa_S,kappa_K_top_5pct_AminusI,kappa_K_top_10pct_AminusI,kappa_K_top_50pct_AminusI,kappa_K_rank95_AminusI,rank95_G_p_over_h,rank95_G_R_over_h,rank95_G_cd_over_h,rank95_G_AminusI_over_h,overlap_mean_cos2_5pct,overlap_max_cos2_5pct,overlap_min_cos2_5pct,C_G_p_5pct,C_G_R_5pct,C_G_cd_5pct,C_G_AminusI_5pct,C_Gp_minus_C_AminusI_5pct,w_share_pred,convex_UB_5pct,convex_LB_5pct,gap_UB_minus_obs,gap_obs_minus_LB
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,Qwen3.5,4096,False,205,2558,57.968034736203094,2.6391936529087583,3.1175963207275346,6.548532358581231,8.31849557509786,0.625244140625,0.874267578125,0.87548828125,0.62451171875,0.4779013991355896,0.9558761715888977,3.529393097778666e-07,0.2227810645242672,0.18715696472607277,0.18637707152076707,0.20588587228963726,0.016895192234629958,0.029256948165883003,0.1881992171673248,0.18168132311019808,0.0018221456465577213,0.004695748410568995
Qwen2.5-3B,Qwen2.5-3B-Instruct,Qwen2.5,2048,False,103,120,395.8266153198004,35.51581338468408,43.32730106512418,70.2120027288952,38.356714535814305,0.0576171875,0.81982421875,0.6650390625,0.05859375,0.7426818609237671,0.9996583461761475,0.002913234056904912,0.9468610858199521,0.4510173110524875,0.7225379399876098,0.9469068371717619,-4.57513518098418e-05,0.5538074608382879,0.725619292928929,0.5243787337045319,0.003081352941319171,0.19815920628307793
Qwen2.5-14B,Qwen2.5-14B-Instruct,Qwen2.5,5120,False,256,1567,806.2218688137273,2.549598701972844,3.5146479041955403,31.479755573968962,9.084236985759714,0.3966796875,0.5154296875,0.5150390625,0.3060546875,0.6795344948768616,0.9899042844772339,5.035847061662935e-05,0.4129640799034623,0.39131203680980076,0.389726655032955,0.4830275371287129,-0.07006345722525059,0.04727705015169363,0.3923356815370264,0.3728119580205824,0.00260902650407141,0.01691469701237258
Llama-3.2-1B,Llama-3.2-1B-Instruct,Llama,2048,False,103,1309,431.49074655054824,23.8031308890918,36.98211323572005,97.29905706353257,116.57225262055695,0.55078125,0.8828125,0.84228515625,0.63916015625,0.766556441783905,0.993962824344635,0.0016359516885131598,0.677116971102599,0.2220920690480067,0.40168276583242496,0.6074083603246374,0.06970861077796164,0.4080941876317367,0.4077850868041861,0.2763275002537773,0.006102320971761166,0.12535526557864768
Llama-3.1-8B,Llama-3.1-8B-Instruct,Llama,4096,False,205,2489,121.73364554945096,2.825017584175386,3.3262939508420986,9.14507971088264,12.57283729775171,0.61376953125,0.88916015625,0.890380859375,0.607666015625,0.34994223713874817,0.9660037755966187,3.0499288641294697e-06,0.20749277062970145,0.14360565045126344,0.1431137227344644,0.20075527291280773,0.00673749771689372,0.048296671948622666,0.14669118573626372,0.1366699754614502,0.0035774630017993136,0.006443747273014194
Llama-3.2-3B,Llama-3.2-3B-Instruct,Llama,3072,False,154,1945,450.3262056074812,26.777611218901683,36.35956536570947,87.1999615306634,103.45457645491777,0.5364583333333334,0.876953125,0.8362630208333334,0.6331380208333334,0.7592853903770447,0.9959273338317871,6.619052146561444e-05,0.6657435098678156,0.23066854876537624,0.3988926148327224,0.5818513076704444,0.08389220219737126,0.40243243090170117,0.405756822986294,0.2679167790331357,0.006864208153571583,0.13097583579958672
Qwen2.5-7B,Qwen2.5-7B-Instruct,Qwen2.5,3584,False,180,1146,695.5871614127285,2.271813964357358,3.1482318751940133,17.794889607855524,7.612239898145036,0.37472098214285715,0.4916294642857143,0.49135044642857145,0.3197544642857143,0.6941706538200378,0.9923795461654663,0.0005219674785621464,0.4395550831574248,0.4080220553593775,0.40727009266817993,0.4852723001678203,-0.045717217010395494,0.03179576674935525,0.40902467215614513,0.3950486812585782,0.0017545794879652021,0.012221411409601701
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,Llama,8192,False,410,4577,251.78523754149555,3.298925281249573,4.057255811977003,13.322458856698125,16.383363191494727,0.578369140625,0.853759765625,0.8558349609375,0.5587158203125,0.4851415157318115,0.9710934162139893,4.529996203928022e-06,0.25079858353179035,0.1916353452584888,0.1910755477360394,0.25083096653569376,-3.238300390340232e-05,0.08244330223834276,0.1965129579928537,0.17583629456979405,0.005437410256814296,0.015239253166245359
Gemma-3-4B,Gemma-3-4B-Instruct,Gemma-3,2560,False,128,1085,567.310849826911,99.66359683577166,134.55359621734138,292.808375997209,262.21099793044095,0.2734375,0.91953125,0.913671875,0.423828125,0.5219216346740723,0.9904110431671143,0.00025412431568838656,0.8488756558316524,0.10513502696111461,0.17493822387859648,0.7054887939777889,0.1433868618538635,0.10098402438654769,0.18024094876424332,0.09451806883459307,0.005302724885646842,0.0804201550440034
Gemma-2-9B,Gemma-2-9B-Instruct,Gemma-2,3584,False,180,941,6336.172687769136,879.434453121865,1226.5983625524,2774.7879019838592,1868.6663553852281,0.14983258928571427,0.9171316964285714,0.8942522321428571,0.26255580357142855,0.41137006878852844,0.9904682040214539,3.075951826758683e-05,0.9065916081888565,0.1454385661994828,0.3396353388331646,0.8434570179502535,0.06313459023860302,0.2686627474503152,0.34993203369051307,0.24356739227141788,0.010296694857348465,0.09606794656174672
