model,subset,model_group,role,matrix,mean_row_norm,mean_vec_norm,mu_over_row_norm,sigma1,sigma1_centered,sigma1_over_mean_row,sigma1_c_over_mean_row,sigma1_over_mean_sqrt_n,sigma1_c_over_mean_sqrt_n,cos_v1_mu,cos_v1_v1_centered,rank1_energy_frac,rank5_energy_frac,rank10_energy_frac,participation_ratio,effective_rank,isotropy_pr_over_d,sigma_ratio,rank1_centered_energy_frac,rank5_centered_energy_frac,participation_ratio_centered,effective_rank_centered,isotropy_pr_over_d_centered,sigma_ratio_centered,tied,vocab_size,hidden_dim
DeepSeek-V3.1-Base,base_instruct,deepseek_v3_moe,base,E,3.1552069187164307,0.24883738160133362,0.0788656300559087,105.2882308959961,98.57015991210938,33.36967546294187,31.240474064442243,0.09280819178178366,0.08688642811484465,0.6771366596221924,0.859948456287384,0.008440081030130386,0.03063155524432659,0.05095967277884483,1327.4091796875,3781.268798828125,0.18518543243408203,22.138123659634065,0.0074429321102797985,0.02894684299826622,1394.28759765625,3835.4052734375,0.1945155688694545,20.800720953221997,False,129280,7168
DeepSeek-V3.1-Base,base_instruct,deepseek_v3_moe,base,U,6.669333457946777,0.5296940803527832,0.07942234163170107,254.7626953125,234.3738555908203,38.199123933283026,35.14202087339845,0.10623991904965652,0.09773746275835903,0.7921059131622314,0.7496278285980225,0.011057499796152115,0.028155511245131493,0.03738759458065033,2124.104736328125,4931.21044921875,0.2963315759386335,89.53537157330258,0.009416874498128891,0.02396468259394169,2484.2666015625,5021.95263671875,0.3465773718697684,85.57853895935705,False,129280,7168
DeepSeek-V3.2,other_models,deepseek_v3_moe,,E,3.152761220932007,0.2489101141691208,0.07894987813112563,105.32757568359375,98.60216522216797,33.408040857739685,31.274859817331674,0.0929148941356059,0.0869820622348788,0.6771851778030396,0.8600099682807922,0.008460174314677715,0.030688846483826637,0.05105128139257431,1323.97998046875,3776.803466796875,0.18470702852521623,22.274419704040923,0.00746002234518528,0.02899910695850849,1390.8094482421875,3831.00732421875,0.19403033597128733,20.932660668530854,False,129280,7168
DeepSeek-V3.2,other_models,deepseek_v3_moe,,U,6.669526100158691,0.5255536437034607,0.07879924837402705,254.11753845214844,234.48179626464844,38.10128855273572,35.15718999271467,0.10596781796881256,0.09777965131773605,0.7860739231109619,0.7556476593017578,0.01100082229822874,0.02801959402859211,0.03718860447406769,2133.60107421875,4935.64208984375,0.2976563998631069,89.1839642837495,0.009423994459211826,0.023889891803264618,2488.66015625,5024.845703125,0.3471903119768415,95.0363399843419,False,129280,7168
DeepSeek-V3.2-Speciale,other_models,deepseek_v3_moe,,E,3.1527657508850098,0.24890702962875366,0.07894878633431082,105.32544708251953,98.60079956054688,33.40731770286255,31.27438171797849,0.09291288288750131,0.0869807325385049,0.6771717071533203,0.8600090742111206,0.008459808304905891,0.03068888932466507,0.05105089768767357,1324.0078125,3776.861083984375,0.1847109113420759,22.274409799936155,0.0074597932398319244,0.028999201953411102,1390.8348388671875,3831.06591796875,0.19403387819017684,20.93272674098163,False,129280,7168
DeepSeek-V3.2-Speciale,other_models,deepseek_v3_moe,,U,6.669405937194824,0.5250520706176758,0.07872546304154258,254.03781127929688,234.41525268554688,38.09002086116025,35.14784598403719,0.10593648011292495,0.0977536636346879,0.7865781784057617,0.7550991773605347,0.010994330048561096,0.027994003146886826,0.0371522456407547,2134.885009765625,4936.17919921875,0.2978355203356062,89.1589080309175,0.009418889880180359,0.02386639267206192,2490.146240234375,5025.27734375,0.3473976339612688,91.32202697780184,False,129280,7168
DeepSeek-V4-Flash,other_models,deepseek_v4_moe,,E,7.287117004394531,1.7236814498901367,0.23653818771547955,632.954345703125,383.6170654296875,86.85936363055771,52.64318731239602,0.24157443445384366,0.1464119430684594,0.9944315552711487,0.285088449716568,0.055334001779556274,0.09868241846561432,0.12530802190303802,227.14443969726562,1610.8798828125,0.05545518547296524,41.53843991255448,0.02146453782916069,0.05383990332484245,644.7848510742188,1967.9080810546875,0.1574181765317917,25.178063921535998,False,129280,4096
DeepSeek-V4-Flash,other_models,deepseek_v4_moe,,U,11.286922454833984,1.2406079769134521,0.10991552231158656,684.067138671875,556.7587280273438,60.607055768235696,49.32777116661186,0.16856116150467923,0.1371910629362547,0.9393850564956665,0.9630545377731323,0.027945751324295998,0.04936585575342178,0.058836761862039566,799.4027709960938,2948.91357421875,0.1951666921377182,95.87595436183985,0.018735036253929138,0.038763824850320816,1234.63818359375,3085.931396484375,0.30142533779144287,85.1970935986233,False,129280,4096
DeepSeek-V4-Pro,other_models,deepseek_v4_moe,,E,7.427170753479004,1.3341357707977295,0.1796290694101518,503.7834777832031,369.52618408203125,67.8297960966123,49.75329049879988,0.1886491443899315,0.1383745230460906,0.9680218696594238,0.48463672399520874,0.034781262278556824,0.07141488790512085,0.09331689774990082,455.9310302734375,2838.510009765625,0.06360644953591484,52.48860206334985,0.019322948530316353,0.045821256935596466,876.5968017578125,3195.857177734375,0.1222930806023734,38.50524597761606,False,129280,7168
DeepSeek-V4-Pro,other_models,deepseek_v4_moe,,U,9.535567283630371,1.0334105491638184,0.10837431255273776,573.6236572265625,478.0922546386719,60.15621726158835,50.137788389308405,0.1673072833651089,0.1394438937686688,0.9170883297920227,0.9528397917747498,0.0274245236068964,0.04928920790553093,0.05716570466756821,889.9595336914062,4757.7685546875,0.12415730101721627,135.27439660002625,0.019272683188319206,0.03916648402810097,1393.210693359375,4993.6083984375,0.1943653311048235,143.17709708237098,False,129280,7168
