model_a,model_b,bootstrap,align_mode,n_tokens,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos,gcorr_E_euc,gcorr_E_euc2,gcorr_U_cos,gcorr_U_euc,gcorr_U_euc2
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,91,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994722184785174,0.9988474484082457,0.998848482930612,0.9994742628992358,0.9988478563642957,0.9988489398516276
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,92,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994644064621236,0.9988703742272277,0.9988827276298727,0.9994654918314342,0.9988681154413045,0.9988806931185322
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,93,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994697978945837,0.9988512441611195,0.9988588823999885,0.9994685227975962,0.9988505927247961,0.9988584052856634
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,94,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994708122034192,0.9988490079773233,0.9988467280496731,0.9994680509734716,0.9988449511416394,0.9988427362049715
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,95,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994660827537468,0.9988252051266344,0.9988217433391154,0.9994667568230087,0.9988253871160263,0.9988219896871188
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,96,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994573260112277,0.998855106886067,0.9988522790578599,0.9994579142464264,0.998854390314919,0.998851006244557
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,97,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994552230536617,0.9988274077021078,0.9988305167009754,0.9994545997679289,0.9988260562102138,0.998829088902227
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,98,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994681024537746,0.9988623008155381,0.9988627624384582,0.9994682924514621,0.9988646399327057,0.9988651202232353
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,99,id,20000,5000000,1024,1024,248320,248320,True,True,0.9994780767721306,0.998853452444581,0.9988618549975351,0.999478604816595,0.9988537357147457,0.9988619107781583
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,12,id,20000,5000000,2048,2048,248320,248320,True,True,0.9995522320089006,0.9985625868125386,0.9985730730372753,0.9995519347195817,0.9985639599964516,0.9985750301674721
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,14,id,20000,5000000,2048,2048,248320,248320,True,True,0.9995458338038522,0.9984970702738173,0.9985158136039719,0.9995442619435407,0.9984928544862622,0.9985120351852115
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,17,id,20000,5000000,2048,2048,248320,248320,True,True,0.9995489811289048,0.9985143626155211,0.998534346730053,0.9995491471088271,0.998517237610223,0.9985372022457666
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,11,id,20000,5000000,2048,2048,248320,248320,True,True,0.9995577003921122,0.9985359169751902,0.9985617705626538,0.9995577590948667,0.9985333556475265,0.9985580238013948
