model_a,model_b,hidden_dim,vocab,baseline_rank_w,baseline_w_params,baseline_w_gain,identity_R2,delta_over_Yc_energy,full_affine_gain_over_delta,residual_gain_over_delta,same_budget_hybrid_gain,same_budget_rank_affine,same_budget_rank_residual_w,same_budget_hybrid_params,same_budget_mode,same_budget_gain_over_w,same_budget_param_ratio,match_hybrid_params,match_rank_affine,match_rank_residual_w,match_hybrid_gain,match_mode,match_param_ratio_over_w,match_param_saving
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,1536,151936,4,615424,0.6256941556930542,0.9992619361598801,0.0007380638401198979,0.5682479107468079,0.4317491536362726,0.6708607226610184,99,2,612608,decomposed_hybrid,1.0721863334618096,0.9954242928452579,201088,15,1,0.6265633776783943,decomposed_hybrid,0.32674708818635606,0.6732529118136439
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,1536,151936,8,1229312,0.65412837266922,0.9992619361598801,0.0007380638401198979,0.5682479107468079,0.4317491536362726,0.6933507025241852,149,5,1226624,decomposed_hybrid,1.0599612117341977,0.9978134110787172,400640,30,2,0.6542756706476212,decomposed_hybrid,0.3259058725531029,0.6740941274468971
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,1536,151936,16,2457088,0.6834786534309387,0.9992619361598801,0.0007380638401198979,0.5682479107468079,0.4317491536362726,0.7153461426496506,249,11,2454656,decomposed_hybrid,1.0466254345453847,0.9990102104605126,913408,97,4,0.6835259199142456,decomposed_hybrid,0.37174411335694935,0.6282558866430507
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,1536,151936,32,4912640,0.7142037153244019,0.9992619361598801,0.0007380638401198979,0.5682479107468079,0.4317491536362726,0.7397281527519226,399,24,4910592,decomposed_hybrid,1.0357383151051338,0.9995831162063574,2377856,224,11,0.7142253965139389,decomposed_hybrid,0.4840281396560709,0.5159718603439292
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,1536,151936,64,9823744,0.7474909424781799,0.9992619361598801,0.0007380638401198979,0.5682479107468079,0.4317491536362726,0.7674442231655121,649,51,9822336,decomposed_hybrid,1.0266936755396399,0.999856673789545,6018816,460,30,0.7474927455186844,decomposed_hybrid,0.6126804607286184,0.38731953927138163
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,4096,248320,1,256512,0.004796353634446859,0.9985479709321446,0.0014520290678553445,0.029256946365186928,0.9707430968515189,0.004796353634446859,0,1,256512,pure_W_fallback,1.0,1.0,256512,0,1,0.004796353634446859,pure_W_fallback,1.0,0.0
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,4096,248320,2,508928,0.008429163135588169,0.9985479709321446,0.0014520290678553445,0.029256946365186928,0.9707430968515189,0.008429163135588169,0,2,508928,pure_W_fallback,1.0,1.0,508928,0,2,0.008429163135588169,pure_W_fallback,1.0,0.0
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,4096,248320,4,1013760,0.013836301863193512,0.9985479709321446,0.0014520290678553445,0.029256946365186928,0.9707430968515189,0.013836301863193512,0,4,1013760,pure_W_fallback,1.0,1.0,1013760,0,4,0.013836301863193512,pure_W_fallback,1.0,0.0
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,4096,248320,8,2023424,0.021958591416478157,0.9985479709321446,0.0014520290678553445,0.029256946365186928,0.9707430968515189,0.021958591416478157,0,8,2023424,pure_W_fallback,1.0,1.0,2023424,0,8,0.021958591416478157,pure_W_fallback,1.0,0.0
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,4096,248320,16,4042752,0.034868400543928146,0.9985479709321446,0.0014520290678553445,0.029256946365186928,0.9707430968515189,0.034868400543928146,0,16,4042752,pure_W_fallback,1.0,1.0,4042752,0,16,0.034868400543928146,pure_W_fallback,1.0,0.0
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,4096,248320,32,8081408,0.0556560754776001,0.9985479709321446,0.0014520290678553445,0.029256946365186928,0.9707430968515189,0.0556560754776001,0,32,8081408,pure_W_fallback,1.0,1.0,8081408,0,32,0.0556560754776001,pure_W_fallback,1.0,0.0
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,4096,248320,64,16158720,0.08915267884731293,0.9985479709321446,0.0014520290678553445,0.029256946365186928,0.9707430968515189,0.08915267884731293,0,64,16158720,pure_W_fallback,1.0,1.0,16158720,0,64,0.08915267884731293,pure_W_fallback,1.0,0.0
Qwen2.5-3B,Qwen2.5-3B-Instruct,2048,151936,1,156032,0.5176088809967041,0.9993997007337432,0.0006002992662567704,0.5538074195570127,0.4461887415895566,0.5176088809967041,0,1,156032,pure_W_fallback,1.0,1.0,156032,0,1,0.5176088809967041,pure_W_fallback,1.0,0.0
Qwen2.5-3B,Qwen2.5-3B-Instruct,2048,151936,2,310016,0.5492799878120422,0.9993997007337432,0.0006002992662567704,0.5538074195570127,0.4461887415895566,0.5934864059090614,37,1,307584,decomposed_hybrid,1.0804806639198845,0.9921552436003304,176512,5,1,0.5530237630009651,decomposed_hybrid,0.569364161849711,0.43063583815028905
Qwen2.5-3B,Qwen2.5-3B-Instruct,2048,151936,4,617984,0.5735723972320557,0.9993997007337432,0.0006002992662567704,0.5538074195570127,0.4461887415895566,0.6200748905539513,75,2,617216,decomposed_hybrid,1.081075193901079,0.9987572493786246,209280,13,1,0.5748030915856361,decomposed_hybrid,0.3386495443247722,0.6613504556752279
Qwen2.5-3B,Qwen2.5-3B-Instruct,2048,151936,8,1233920,0.6014469265937805,0.9993997007337432,0.0006002992662567704,0.5538074195570127,0.4461887415895566,0.6420575007796288,112,5,1230720,decomposed_hybrid,1.0675214593178506,0.9974066390041494,405888,61,1,0.6014476791024208,decomposed_hybrid,0.32894190871369294,0.6710580912863071
Qwen2.5-3B,Qwen2.5-3B-Instruct,2048,151936,16,2465792,0.6307701468467712,0.9993997007337432,0.0006002992662567704,0.5538074195570127,0.4461887415895566,0.6638393551111221,225,10,2463488,decomposed_hybrid,1.0524267174495565,0.9990656146179402,857216,96,3,0.6307849213480949,decomposed_hybrid,0.3476432724252492,0.6523567275747508
Qwen2.5-3B,Qwen2.5-3B-Instruct,2048,151936,32,4929536,0.662178635597229,0.9993997007337432,0.0006002992662567704,0.5538074195570127,0.4461887415895566,0.6885662376880646,338,23,4928128,decomposed_hybrid,1.039849672991996,0.9997143747403406,2348800,197,10,0.662208154797554,decomposed_hybrid,0.47647486497714997,0.52352513502285
Qwen2.5-3B,Qwen2.5-3B-Instruct,2048,151936,64,9857024,0.6965086460113525,0.9993997007337432,0.0006002992662567704,0.5538074195570127,0.4461887415895566,0.7171845138072968,563,49,9853312,decomposed_hybrid,1.0296850124034314,0.9996234157490131,6013440,415,28,0.6965347677469254,decomposed_hybrid,0.6100664865987949,0.3899335134012051
Qwen2.5-14B,Qwen2.5-14B-Instruct,5120,152064,1,162304,0.012055815197527409,0.9998309539329064,0.00016904606709352654,0.04727705015169363,0.9527229028602262,0.012055815197527409,0,1,162304,pure_W_fallback,1.0,1.0,162304,0,1,0.012055815197527409,pure_W_fallback,1.0,0.0
Qwen2.5-14B,Qwen2.5-14B-Instruct,5120,152064,2,319488,0.01847418025135994,0.9998309539329064,0.00016904606709352654,0.04727705015169363,0.9527229028602262,0.01847418025135994,0,2,319488,pure_W_fallback,1.0,1.0,319488,0,2,0.01847418025135994,pure_W_fallback,1.0,0.0
Qwen2.5-14B,Qwen2.5-14B-Instruct,5120,152064,4,633856,0.026330452412366867,0.9998309539329064,0.00016904606709352654,0.04727705015169363,0.9527229028602262,0.026330452412366867,0,4,633856,pure_W_fallback,1.0,1.0,633856,0,4,0.026330452412366867,pure_W_fallback,1.0,0.0
Qwen2.5-14B,Qwen2.5-14B-Instruct,5120,152064,8,1262592,0.03965240344405174,0.9998309539329064,0.00016904606709352654,0.04727705015169363,0.9527229028602262,0.03965240344405174,0,8,1262592,pure_W_fallback,1.0,1.0,1262592,0,8,0.03965240344405174,pure_W_fallback,1.0,0.0
Qwen2.5-14B,Qwen2.5-14B-Instruct,5120,152064,16,2520064,0.061797499656677246,0.9998309539329064,0.00016904606709352654,0.04727705015169363,0.9527229028602262,0.061797499656677246,0,16,2520064,pure_W_fallback,1.0,1.0,2520064,0,16,0.061797499656677246,pure_W_fallback,1.0,0.0
Qwen2.5-14B,Qwen2.5-14B-Instruct,5120,152064,32,5035008,0.09935647994279861,0.9998309539329064,0.00016904606709352654,0.04727705015169363,0.9527229028602262,0.09935647994279861,0,32,5035008,pure_W_fallback,1.0,1.0,5035008,0,32,0.09935647994279861,pure_W_fallback,1.0,0.0
Qwen2.5-14B,Qwen2.5-14B-Instruct,5120,152064,64,10064896,0.1608491986989975,0.9998309539329064,0.00016904606709352654,0.04727705015169363,0.9527229028602262,0.1608491986989975,0,64,10064896,pure_W_fallback,1.0,1.0,10064896,0,64,0.1608491986989975,pure_W_fallback,1.0,0.0
Llama-3.2-1B,Llama-3.2-1B-Instruct,2048,128256,1,132352,0.0682898685336113,0.9582858963221983,0.04171410367780169,0.4080941876317367,0.5919057519091038,0.20771388709545135,31,0,129024,decomposed_hybrid,3.041650124032931,0.9748549323017408,14336,3,0,0.0798630639910698,decomposed_hybrid,0.10831721470019343,0.8916827852998066
Llama-3.2-1B,Llama-3.2-1B-Instruct,2048,128256,2,262656,0.08901307731866837,0.9582858963221983,0.04171410367780169,0.4080941876317367,0.5919057519091038,0.24956464767456055,63,0,260096,decomposed_hybrid,2.803685202131758,0.9902534113060428,18432,4,0,0.09161486476659775,decomposed_hybrid,0.07017543859649122,0.9298245614035088
Llama-3.2-1B,Llama-3.2-1B-Instruct,2048,128256,4,523264,0.11789464205503464,0.9582858963221983,0.04171410367780169,0.4080941876317367,0.5919057519091038,0.293211854994297,95,1,521472,decomposed_hybrid,2.4870668410649417,0.9965753424657534,30720,7,0,0.11830674111843109,decomposed_hybrid,0.05870841487279843,0.9412915851272016
Llama-3.2-1B,Llama-3.2-1B-Instruct,2048,128256,8,1044480,0.1583019495010376,0.9582858963221983,0.04171410367780169,0.4080941876317367,0.5919057519091038,0.33662766963243484,222,1,1041664,decomposed_hybrid,2.1264909920154103,0.9973039215686275,63488,15,0,0.16157087683677673,decomposed_hybrid,0.060784313725490195,0.9392156862745098
