model_a,model_b,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,27,671,0.1248139880952381,7230144,7219968,0.9985925591523488,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9700739381428701,0.9700888823721635,0.07756870407493535,0.0780293401873473,1.0059384273323293,0.7872412116515743,0.07756870407493535,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,28,696,0.12946428571428573,7497728,7488768,0.9988049713193117,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9701088838282131,0.9701020939535584,0.07864585862911105,0.07843656971876517,0.9973388438502162,0.7913497670867987,0.07864585862911105,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,29,721,0.13411458333333334,7765312,7757568,0.9990027445130344,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9701436244236994,0.9701150121299708,0.07971669155956852,0.07883475542946718,0.9889366190085508,0.7953670790441055,0.07971669155956852,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,30,746,0.13876488095238096,8032896,8026368,0.9991873416511305,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9701770965339036,0.9701276486466349,0.08074842510808584,0.07922425935076757,0.9811245141279462,0.7992968000722642,0.08074842510808584,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,31,771,0.14341517857142858,8300480,8295168,0.9993600370099078,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9702097234389929,0.9701400035035507,0.08175410632625772,0.07960508148266639,0.9737135547049444,0.803138930171275,0.08175410632625772,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,32,796,0.1480654761904762,8568064,8563968,0.999521945681078,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.970241366454857,0.9701520983842271,0.08272946045971961,0.07997789019066687,0.966740140044882,0.8069002125080971,0.08272946045971961,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,33,821,0.1527157738095238,8835648,8832768,0.9996740476759599,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9702724660277746,0.9701639407423707,0.0836880636827563,0.08034291522541073,0.9600283683223175,0.8105829650463726,0.0836880636827563,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,34,846,0.15736607142857142,9103232,9101568,0.999817207778512,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9703031920119001,0.9701755513580108,0.08463515152514324,0.08070079710383861,0.9535139436698967,0.814193649987771,0.08463515152514324,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,35,871,0.16201636904761904,9370816,9370368,0.9999521919969403,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9703326007228481,0.9701869261654895,0.08554163616320773,0.08105141050741864,0.947508302889811,0.8177310029884873,0.08554163616320773,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,36,895,0.16648065476190477,9638400,9628416,0.9989641434262948,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9703614818017414,0.9701976439174687,0.08643185724069312,0.08138177104382206,0.9415714719306828,0.8210640239820733,0.08643185724069312,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,37,920,0.17113095238095238,9905984,9897216,0.9991148784411523,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9703896821087973,0.9702085992845683,0.08730109442623273,0.08171945575219859,0.9360645051391597,0.8244709388469212,0.08730109442623273,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,38,945,0.17578125,10173568,10166016,0.9992576842264189,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.970417636217677,0.9702193554344282,0.08816274287845417,0.08205099985251402,0.9306765780374355,0.827815900865331,0.08816274287845417,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,39,970,0.18043154761904762,10441152,10434816,0.9993931704087825,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9704450938645462,0.9702299058168216,0.08900908854550744,0.08237620144268923,0.9254807884092978,0.8310968730389501,0.08900908854550744,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,40,995,0.18508184523809523,10708736,10703616,0.9995218856828668,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9704725126617951,0.970240259240674,0.0898542367243674,0.08269533204620991,0.9203275778735085,0.8343165947793558,0.0898542367243674,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,41,1020,0.18973214285714285,10976320,10972416,0.9996443252383312,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9704990243655803,0.970250428580569,0.0906714249463414,0.08300878850509362,0.915490062654442,0.8374790698419303,0.0906714249463414,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,42,1045,0.19438244047619047,11243904,11241216,0.9997609371264643,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9705251778397256,0.9702604124812874,0.09147757121323043,0.08331652904649642,0.910786413997471,0.8405838767787386,0.09147757121323043,0.09911744841666441,0.032442591648105645
Gemma-3-27B,Gemma-3-27B-Instruct,5376,262208,43,1070,0.19903273809523808,11511488,11510016,0.9998721277388293,0.9675574083518943,0.9707730352560784,0.9707730427305877,0.9705509071302243,0.9702702197517544,0.09227064257996213,0.08361882519390397,0.9062343434038572,0.8436337550013577,0.09227064257996213,0.09911744841666441,0.032442591648105645
