model_a,model_b,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy,mean_shift_over_raw_delta,centered_delta_over_raw_delta,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,full_affine_update_gain_over_raw,rank_affine_gain_over_w_gain_raw,affine_wins_centered,affine_wins_raw,matrix_kind,raw_delta_over_Yc_energy
Gemma-2-2B,Gemma-2-2B-Instruct,2304,256000,8,448,0.19444444444444445,2068736,2066688,0.9990100235119416,0.9989458769818493,0.9993343738643692,0.9993343784311904,0.9993636935850084,0.9993136028299695,0.39636417758158277,0.3488452882522996,0.8801130575946096,0.9465348749649004,0.39636417758158277,0.3685498521808143,0.0010541230181506573,0.18121540361179148,0.8187845963882086,0.505752286775672,0.4668445521553789,0.4829783455785934,0.9230695824069487,0,0,embed,0.0012874240951778583
Gemma-2-2B,Gemma-2-2B-Instruct,2304,256000,16,896,0.3888888888888889,4135168,4131072,0.9990094719247199,0.9989458769818493,0.9993343738643692,0.9993343784311904,0.9994203986876724,0.9993250278240137,0.4501578066813541,0.35968367603760093,0.7990168574199679,0.9759430750256723,0.4501578066813541,0.3685498521808143,0.0010541230181506573,0.18121540361179148,0.8187845963882086,0.5497976816663852,0.4757188571236657,0.4829783455785934,0.8652616644031791,0,0,embed,0.0012874240951778583
Gemma-2-2B,Gemma-2-2B-Instruct,2304,256000,32,1793,0.7782118055555556,8268032,8264448,0.9995665232064898,0.9989458769818493,0.9993343738643692,0.9993343784311904,0.999478248077269,0.9993331548954884,0.5050369703089179,0.3673934701838405,0.7274585659721416,0.9968623457854312,0.5050369703089179,0.3685498521808143,0.0010541230181506573,0.18121540361179148,0.8187845963882086,0.5947318955073025,0.48203151781193065,0.4829783455785934,0.8105022136079667,0,0,embed,0.0012874240951778583
Gemma-2-2B,Gemma-2-2B-Instruct,2304,256000,64,2304,1.0,16533760,10619136,0.6422698769064025,0.9989458769818493,0.9993343738643692,0.9993343784311904,0.999540374049996,0.9993343738643692,0.5639731396716843,0.3685498521808143,0.653488306899447,1.0,0.5639731396716843,0.3685498521808143,0.0010541230181506573,0.18121540361179148,0.8187845963882086,0.6429879231516622,0.4829783455785934,0.4829783455785934,0.7511468383593153,0,0,embed,0.0012874240951778583
Gemma-2-2B,Gemma-2-2B-Instruct,2304,256000,128,2304,1.0,33065216,10619136,0.32115731528867075,0.9989458769818493,0.9993343738643692,0.9993343784311904,0.9996098415225366,0.9993343738643692,0.6298738660048683,0.3685498521808143,0.5851169131979288,1.0,0.6298738660048683,0.3685498521808143,0.0010541230181506573,0.18121540361179148,0.8187845963882086,0.696946422764068,0.4829783455785934,0.4829783455785934,0.6929920719918702,0,0,embed,0.0012874240951778583
Gemma-2-9B,Gemma-2-9B-Instruct,3584,256000,1,36,0.010044642857142858,263168,261632,0.9941634241245136,0.9878627279082711,0.9911235605544993,0.9911235620291692,0.988880582994913,0.9905094358089368,0.08386193198514968,0.21806447780546617,2.6002796816567635,0.8116662790797176,0.08386193198514968,0.26866272928414836,0.01213727209172885,0.1894499118347798,0.8105500881652202,0.2574242081990486,0.3662020935457031,0.40721451074275494,1.4225627655909656,1,1,embed,0.01497411729261921
Gemma-2-9B,Gemma-2-9B-Instruct,3584,256000,2,72,0.020089285714285716,522752,519680,0.9941234084231146,0.9878627279082711,0.9911235605544993,0.9911235620291692,0.9894028519661221,0.9906708597874104,0.1268921093810327,0.23136433441687307,1.8233153782803804,0.8611701929528639,0.1268921093810327,0.26866272928414836,0.01213727209172885,0.1894499118347798,0.8105500881652202,0.29230232228104663,0.3769822934946637,0.40721451074275494,1.2896999604820036,1,1,embed,0.01497411729261921
Gemma-2-9B,Gemma-2-9B-Instruct,3584,256000,4,144,0.04017857142857143,1041920,1035776,0.9941031941031941,0.9878627279082711,0.9911235605544993,0.9911235620291692,0.9898155147543514,0.9907875360762226,0.16089174167983056,0.24097739144734306,1.4977610965693964,0.8969513266295892,0.16089174167983056,0.26866272928414836,0.01213727209172885,0.1894499118347798,0.8105500881652202,0.3198607272384223,0.3847741577182485,0.40721451074275494,1.2029427965110582,1,1,embed,0.01497411729261921
Gemma-2-9B,Gemma-2-9B-Instruct,3584,256000,8,289,0.08063616071428571,2080256,2075136,0.9975387644597588,0.9878627279082711,0.9911235605544993,0.9911235620291692,0.9902330524164056,0.9908814561831933,0.1952930189107146,0.24871554762122747,1.2735506318069514,0.9257538188640079,0.1952930189107146,0.26866272928414836,0.01213727209172885,0.1894499118347798,0.8105500881652202,0.34774468553091153,0.3910463208872268,0.40721451074275494,1.1245213432671313,1,1,embed,0.01497411729261921
Gemma-2-9B,Gemma-2-9B-Instruct,3584,256000,16,579,0.16155133928571427,4156928,4153856,0.9992609927330952,0.9878627279082711,0.9911235605544993,0.9911235620291692,0.9905977801763844,0.9909700623494204,0.22534324413615303,0.25601588377234114,1.1361151950828206,0.9529266841533818,0.22534324413615303,0.26866272928414836,0.01213727209172885,0.1894499118347798,0.8105500881652202,0.3721018982367754,0.39696360899814764,0.40721451074275494,1.06681425405025,1,1,embed,0.01497411729261921
