model_a,model_b,series,hidden_dim,is_anomaly,E_R2,E_delta_rank95_over_h,Centered_delta_rank95_over_h,A_delta_rank95_over_h,Pred_delta_rank95_over_h,Residual_rank95_over_h,E_delta_eff_over_h,Centered_delta_eff_over_h,A_delta_eff_over_h,Pred_delta_eff_over_h,Residual_eff_over_h,E_delta_energy_5pct_h,Centered_delta_energy_5pct_h,A_delta_energy_5pct_h,Pred_delta_energy_5pct_h,Residual_energy_5pct_h,Mean_shift_energy_5pct_h,Pred_delta_rank_95,Pred_delta_effective_rank,Pred_delta_total_energy,Centered_delta_total_energy,Residual_total_energy,Mean_shift_total_energy,Residual_over_centered_delta_energy,Mean_shift_over_raw_delta_energy,solver
Qwen2.5-7B,Qwen2.5-7B-Instruct,Qwen2.5,3584,False,0.9997231554449361,0.49135044642857145,0.49135044642857145,0.3197544642857143,0.37472098214285715,0.4916294642857143,0.32557202822898235,0.3256173628785204,0.23525661475030837,0.27610840726556096,0.3248221291393471,0.40730199217796326,0.40727004408836365,0.48527228832244873,0.43955501914024353,0.4080217480659485,0.9999994039535522,1343,989.5725316397705,0.9127190113067627,28.705677032470703,27.792987823486328,0.0024239509366452694,0.9682052714537275,8.443438798150598e-05,solve
Qwen3-0.6B-Base,Qwen3-0.6B,Qwen3,1024,False,0.9876894506828213,0.8291015625,0.845703125,0.60546875,0.5732421875,0.875,0.35052052675774925,0.5286020807163474,0.1332202081377038,0.1603095123775953,0.7105030249199955,0.41843727231025696,0.346050888299942,0.6687540411949158,0.6545668244361877,0.2229526937007904,0.9999998211860657,587,164.1569406746576,661.8871459960938,2125.170166015625,1463.283203125,265.60296630859375,0.6885487226034405,0.11109501052924442,solve
Qwen3-1.7B-Base,Qwen3-1.7B,Qwen3,2048,False,0.9938152314061097,0.82568359375,0.8369140625,0.517578125,0.5556640625,0.86328125,0.346705714441788,0.465359298833899,0.024855187988760123,0.10343876931600682,0.686076143733445,0.4067821204662323,0.35859668254852295,0.775377631187439,0.6855060458183289,0.2367280125617981,0.9999996423721313,1138,211.84259955918196,915.3236083984375,3092.112548828125,2176.7880859375,251.79681396484375,0.7039808711886887,0.07530013126747336,solve
Qwen3-14B-Base,Qwen3-14B,Qwen3,5120,False,0.9955615155647812,0.55859375,0.5587890625,0.3966796875,0.4638671875,0.5587890625,0.3626955222452118,0.3636360130545563,0.28352010292183,0.3745486116027852,0.3543396442895067,0.40855878591537476,0.40797486901283264,0.45386937260627747,0.3616572618484497,0.4159596562385559,0.9999995827674866,2375,1917.6888914062602,102.23843383789062,1296.83642578125,1194.595703125,1.3845798969268799,0.9211614351481087,0.0010665209474126404,solve
Qwen3-4B-Base,Qwen3-4B,Qwen3,2560,False,0.9901264236933547,0.823828125,0.8359375,0.515625,0.48984375,0.86640625,0.34642478973559,0.4813748034817138,0.06464562741817045,0.10217782295614712,0.7232262213724121,0.40416908264160156,0.35343387722969055,0.7165668606758118,0.6949618458747864,0.22202596068382263,0.9999995231628418,1254,261.57522676773664,724.2410888671875,2428.61669921875,1704.37109375,207.26504516601562,0.7017867802268967,0.07863214865672695,solve
Qwen3-8B-Base,Qwen3-8B,Qwen3,4096,False,0.9956756144661487,0.725341796875,0.725341796875,0.558349609375,0.5947265625,0.72216796875,0.5364761925989463,0.5378242208077509,0.41849617525872673,0.5183142239367415,0.5260679449840057,0.28411728143692017,0.2834243178367615,0.3427428603172302,0.26311251521110535,0.2890694737434387,0.9999992251396179,2436,2123.0150612448933,101.6461181640625,1389.0238037109375,1287.375,1.4261081218719482,0.9268199699390529,0.001025645087777478,solve
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,Qwen3.5,1024,False,0.9978601039448638,0.8515625,0.85546875,0.4736328125,0.4697265625,0.8662109375,0.6262705978249011,0.6822129897202813,0.11992288905600272,0.13324873362235948,0.766706868326627,0.2723273038864136,0.25118589401245117,0.6928040385246277,0.6780125498771667,0.20172283053398132,0.9999994039535522,481,136.4467032292961,23.03714942932129,193.00955200195312,169.97239685058594,5.672086238861084,0.8806424090806964,0.02854861822704608,solve
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,Qwen3.5,2048,False,0.9965920500316764,0.8486328125,0.853515625,0.46337890625,0.46337890625,0.86376953125,0.5895644039641186,0.680271738493867,0.12960389074700313,0.13199194519191904,0.7613997105879934,0.2732696533203125,0.2454020380973816,0.6698179841041565,0.6555432081222534,0.20050852000713348,0.9999995827674866,949,270.3195037530502,41.20012664794922,358.04522705078125,316.84503173828125,13.830018997192383,0.8849301926131902,0.03718994244486025,solve
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,Qwen3.5,2560,False,0.9971758936229157,0.8484375,0.85234375,0.459375,0.452734375,0.86328125,0.5937531101050065,0.6677840562965548,0.13498829013492747,0.1295255554960404,0.7553682080470105,0.2739056944847107,0.25187504291534424,0.6483452320098877,0.6428479552268982,0.2067493200302124,0.9999995827674866,1159,331.5854220698634,35.64951705932617,297.03167724609375,261.38140869140625,9.091110229492188,0.8799782269513602,0.029697593911453674,solve
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,Qwen3.5,4096,False,0.99859045379887,0.87548828125,0.87548828125,0.62451171875,0.625244140625,0.874267578125,0.7890533938841842,0.789276918025259,0.5920556529056361,0.5772975587213501,0.7871766369647472,0.18647752702236176,0.18637704849243164,0.2058858722448349,0.22278106212615967,0.18715710937976837,0.999999463558197,2561,2364.61080052265,7.747448444366455,264.80712890625,257.0594177246094,0.03800816833972931,0.9707420596505786,0.00014351091645313038,solve
