subset,model,model_group,matrix,mean,var,min,max,role,tied,vocab_size,hidden_dim
other_models,DeepSeek-R1,deepseek_r1,E,3.157230854034424,0.20514242351055145,0.49316585063934326,4.658359050750732,,False,129280,7168
other_models,DeepSeek-R1,deepseek_r1,U,6.671839714050293,0.9238325953483582,1.0977725982666016,10.52165699005127,,False,129280,7168
other_models,DeepSeek-R1-0528,deepseek_r1,E,3.157231330871582,0.20514218509197235,0.49316585063934326,4.658323287963867,,False,129280,7168
other_models,DeepSeek-R1-0528,deepseek_r1,U,6.672057628631592,0.9241083860397339,1.0951050519943237,10.521367073059082,,False,129280,7168
other_models,DeepSeek-R1-Distill-Llama-70B,deepseek_r1_distill_llama,E,0.8151389956474304,0.014172441326081753,2.4776472855592147e-05,1.1039446592330933,,False,128256,8192
other_models,DeepSeek-R1-Distill-Llama-70B,deepseek_r1_distill_llama,U,0.9398331046104431,0.021172376349568367,0.3525978624820709,1.815901517868042,,False,128256,8192
other_models,DeepSeek-R1-Distill-Llama-8B,deepseek_r1_distill_llama,E,0.6813199520111084,0.0072133238427340984,2.0047253269492893e-21,0.9348875880241394,,False,128256,4096
other_models,DeepSeek-R1-Distill-Llama-8B,deepseek_r1_distill_llama,U,0.9040384888648987,0.015853416174650192,0.4240921437740326,1.7867236137390137,,False,128256,4096
other_models,DeepSeek-R1-Distill-Qwen-1.5B,deepseek_r1_distill_qwen,E,1.1660844087600708,0.02859095297753811,0.7301058769226074,1.9898322820663452,,False,151936,1536
other_models,DeepSeek-R1-Distill-Qwen-1.5B,deepseek_r1_distill_qwen,U,1.1393234729766846,0.022033264860510826,0.7417265176773071,1.883095622062683,,False,151936,1536
other_models,DeepSeek-R1-Distill-Qwen-14B,deepseek_r1_distill_qwen,E,1.1442793607711792,0.08849343657493591,0.0,1.7813094854354858,,False,152064,5120
other_models,DeepSeek-R1-Distill-Qwen-14B,deepseek_r1_distill_qwen,U,1.1853991746902466,0.04695107042789459,0.2555812895298004,1.9806607961654663,,False,152064,5120
other_models,DeepSeek-R1-Distill-Qwen-32B,deepseek_r1_distill_qwen,E,1.208452820777893,0.11426001042127609,0.0,1.9023184776306152,,False,152064,5120
other_models,DeepSeek-R1-Distill-Qwen-32B,deepseek_r1_distill_qwen,U,1.2312781810760498,0.05185330659151077,0.3632974624633789,2.0152015686035156,,False,152064,5120
other_models,DeepSeek-R1-Distill-Qwen-7B,deepseek_r1_distill_qwen,E,1.0362467765808105,0.15559682250022888,0.0,1.9746873378753662,,False,152064,3584
other_models,DeepSeek-R1-Distill-Qwen-7B,deepseek_r1_distill_qwen,U,1.0287799835205078,0.02678767591714859,0.5732942819595337,1.7558863162994385,,False,152064,3584
other_models,DeepSeek-V2-Lite,deepseek_v2_moe,E,5.785749435424805,1.955051302909851,0.2565245032310486,9.041922569274902,,False,102400,2048
other_models,DeepSeek-V2-Lite,deepseek_v2_moe,U,6.739805698394775,1.1509144306182861,1.5730230808258057,12.358369827270508,,False,102400,2048
other_models,DeepSeek-V2-Lite-Chat,deepseek_v2_moe,E,5.785707950592041,1.954961895942688,0.2565245032310486,9.039116859436035,,False,102400,2048
other_models,DeepSeek-V2-Lite-Chat,deepseek_v2_moe,U,6.738328456878662,1.1501928567886353,1.5730230808258057,12.333983421325684,,False,102400,2048
