series,model_a,model_b,source_a,source_b,selected_a,selected_b
deepseek_v3_moe,DeepSeek-V3.1-Base,DeepSeek-V3.2,DeepSeek-V3.1-Base,DeepSeek-V3.2,DeepSeek-V3.1-Base,DeepSeek-V3.2
deepseek_v3_moe,DeepSeek-V3.1-Base,DeepSeek-V3.2-Speciale,DeepSeek-V3.1-Base,DeepSeek-V3.2-Speciale,DeepSeek-V3.1-Base,DeepSeek-V3.2-Speciale
deepseek_v3_moe,DeepSeek-V3.1,DeepSeek-V3.2,DeepSeek-V3.1,DeepSeek-V3.2,DeepSeek-V3.1,DeepSeek-V3.2
deepseek_v3_moe,DeepSeek-V3.1,DeepSeek-V3.2-Speciale,DeepSeek-V3.1,DeepSeek-V3.2-Speciale,DeepSeek-V3.1,DeepSeek-V3.2-Speciale
deepseek_v3_moe,DeepSeek-V3.2,DeepSeek-V3.2-Speciale,DeepSeek-V3.2,DeepSeek-V3.2-Speciale,DeepSeek-V3.2,DeepSeek-V3.2-Speciale
deepseek_v4_moe,DeepSeek-V4-Flash,DeepSeek-V4-Pro,DeepSeek-V4-Flash,DeepSeek-V4-Pro,DeepSeek-V4-Flash,DeepSeek-V4-Pro
deepseek_r1,DeepSeek-R1,DeepSeek-R1-0528,DeepSeek-R1,DeepSeek-R1-0528,DeepSeek-R1,DeepSeek-R1-0528
deepseek_r1_distill_qwen,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-7B
deepseek_r1_distill_qwen,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-14B,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-14B,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-14B
deepseek_r1_distill_qwen,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-32B
deepseek_r1_distill_qwen,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-14B,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-14B,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-14B
deepseek_r1_distill_qwen,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-32B
deepseek_r1_distill_qwen,DeepSeek-R1-Distill-Qwen-14B,DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen-14B,DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen-14B,DeepSeek-R1-Distill-Qwen-32B
deepseek_r1_distill_llama,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-70B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-70B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-70B
