model,subset,model_group,role,matrix,mean_row_norm,mean_vec_norm,mu_over_row_norm,tied,vocab_size,hidden_dim
Qwen3-4B,base_instruct,qwen3,base,E,1.097372055053711,0.3124662935733795,0.28474052363041613,True,151936,2560
Qwen3-4B-Base,base_instruct,qwen3,base,E,1.1305713653564453,0.31583401560783386,0.279357876279007,True,151936,2560
Qwen3-8B,base_instruct,qwen3,base,E,1.3758326768875122,0.17923790216445923,0.13027594501530632,False,151936,4096
Qwen3-8B,base_instruct,qwen3,base,U,1.6384880542755127,0.3764168918132782,0.2297342912150298,False,151936,4096
Qwen3-8B-Base,base_instruct,qwen3,base,E,1.3924400806427002,0.18219783902168274,0.1308478846268105,False,151936,4096
Qwen3-8B-Base,base_instruct,qwen3,base,U,1.678593635559082,0.3755282163619995,0.22371597771304783,False,151936,4096
Qwen3.5-0.8B-Base,base_instruct,qwen3.5_dense,base,E,0.6313166618347168,0.27787894010543823,0.4401577796123317,True,248320,1024
Qwen3.5-0.8B-Instruct,base_instruct,qwen3.5_dense,instruct,E,0.6272127628326416,0.2782164216041565,0.44357582959196357,True,248320,1024
Qwen3.5-122B-A10B-Instruct,other_models,qwen3.5_moe,,E,0.6591871976852417,0.07577325403690338,0.11494952314453882,False,248320,3072
Qwen3.5-122B-A10B-Instruct,other_models,qwen3.5_moe,,U,0.8457857966423035,0.2937204837799072,0.3472752615921811,False,248320,3072
Qwen3.5-27B-Instruct,other_models,qwen3.5_dense,,E,0.8780957460403442,0.08854589611291885,0.1008385435326441,False,248320,5120
Qwen3.5-27B-Instruct,other_models,qwen3.5_dense,,U,0.9822753667831421,0.25331953167915344,0.25789054703545167,False,248320,5120
Qwen3.5-2B-Base,base_instruct,qwen3.5_dense,base,E,0.6810688376426697,0.2951822578907013,0.4334103126967203,True,248320,2048
Qwen3.5-2B-Instruct,base_instruct,qwen3.5_dense,instruct,E,0.6756907105445862,0.2947581112384796,0.43623229776374095,True,248320,2048
Qwen3.5-35B-A3B-Base,base_instruct,qwen3.5_moe,base,E,0.5683920383453369,0.0872819796204567,0.1535594690498232,False,248320,2048
Qwen3.5-35B-A3B-Base,base_instruct,qwen3.5_moe,base,U,0.8536590337753296,0.27377334237098694,0.3207057285626289,False,248320,2048
Qwen3.5-35B-A3B-Instruct,base_instruct,qwen3.5_moe,instruct,E,0.5666109323501587,0.08709030598402023,0.15370389276251994,False,248320,2048
Qwen3.5-35B-A3B-Instruct,base_instruct,qwen3.5_moe,instruct,U,0.8458542823791504,0.27366405725479126,0.32353569989035363,False,248320,2048
Qwen3.5-397B-A17B-Instruct,other_models,qwen3.5_moe,,E,0.7368923425674438,0.07511386275291443,0.10193329257732062,False,248320,4096
Qwen3.5-397B-A17B-Instruct,other_models,qwen3.5_moe,,U,1.184456467628479,0.21151047945022583,0.1785717628556772,False,248320,4096
Qwen3.5-4B-Base,base_instruct,qwen3.5_dense,base,E,0.6610638499259949,0.24919405579566956,0.37695913310577556,True,248320,2560
Qwen3.5-4B-Instruct,base_instruct,qwen3.5_dense,instruct,E,0.6557746529579163,0.24869753420352936,0.37924237096045443,True,248320,2560
Qwen3.5-9B-Base,base_instruct,qwen3.5_dense,base,E,0.8553495407104492,0.09163566678762436,0.10713242063766377,False,248320,4096
Qwen3.5-9B-Base,base_instruct,qwen3.5_dense,base,U,0.99200040102005,0.2818058133125305,0.2840783259994214,False,248320,4096
Qwen3.5-9B-Instruct,base_instruct,qwen3.5_dense,instruct,E,0.8524353504180908,0.0913858562707901,0.10720561533020471,False,248320,4096
Qwen3.5-9B-Instruct,base_instruct,qwen3.5_dense,instruct,U,0.983329713344574,0.2818473279476166,0.28662545646970894,False,248320,4096
Qwen3.6-35B-A3B,other_models,qwen3.6,,E,0.5547002553939819,0.08590641617774963,0.1548699776904441,False,248320,2048
Qwen3.6-35B-A3B,other_models,qwen3.6,,U,0.826122522354126,0.27211102843284607,0.3293833796679893,False,248320,2048
