model_a,model_b,matrix_kind,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy,mean_shift_over_raw_delta,centered_delta_over_raw_delta,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,full_affine_update_gain_over_raw,rank_affine_gain_over_w_gain_raw,affine_wins_centered,affine_wins_raw,raw_delta_over_Yc_energy
DeepSeek-V3.1-Base,DeepSeek-V3.1,lm_head,7168,129280,4,38,0.005301339285714286,552960,551936,0.9981481481481481,0.9999883609539282,0.9999896618259729,0.9999896617870091,0.9999897528838793,0.9999891148185619,0.11959141174829417,0.06477031098967939,0.5415966752361987,0.579507136576681,0.11959141174829417,0.11176792640086654,1.1639046071799036e-05,0.032545758075914116,0.9674542419240858,0.14824497666949127,0.09520807019362168,0.14067611258349147,0.6422347140023899,0,0,1.2030590768459651e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,lm_head,7168,129280,8,76,0.010602678571428572,1098752,1096704,0.9981360671015843,0.9999883609539282,0.9999896618259729,0.9999896617870091,0.9999902120089554,0.9999891576008318,0.15903837958796022,0.06844606497039202,0.43037451178591885,0.6123945140120391,0.15903837958796022,0.11176792640086654,1.1639046071799036e-05,0.032545758075914116,0.9674542419240858,0.18640811303701918,0.09876419397453146,0.14067611258349147,0.5298277653554578,0,0,1.2030590768459651e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,lm_head,7168,129280,16,152,0.021205357142857144,2190336,2186240,0.9981299672744273,0.9999883609539282,0.9999896618259729,0.9999896617870091,0.999990578688637,0.999989200137871,0.19054265231113512,0.07210074928482568,0.3783969017450913,0.6450933788127136,0.19054265231113512,0.11176792640086654,1.1639046071799036e-05,0.032545758075914116,0.9674542419240858,0.216887055321788,0.10229993381742372,0.14067611258349147,0.47167376432698926,0,0,1.2030590768459651e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,lm_head,7168,129280,32,304,0.04241071428571429,4373504,4365312,0.9981269023647857,0.9999883609539282,0.9999896618259729,0.9999896617870091,0.9999909126756737,0.9999892516275112,0.21923804836353258,0.0765246204425026,0.3490480827288348,0.6846742433785487,0.21923804836353258,0.11176792640086654,1.1639046071799036e-05,0.032545758075914116,0.9674542419240858,0.2446485379563716,0.10657982673464388,0.14067611258349147,0.435644650178332,0,0,1.2030590768459651e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,lm_head,7168,129280,64,609,0.0849609375,8739840,8737792,0.9997656707674283,0.9999883609539282,0.9999896618259729,0.9999896617870091,0.9999912952450695,0.9999893233572388,0.2521075286730126,0.08268747323962691,0.3279849422778399,0.7398139690188065,0.2521075286730126,0.11176792640086654,1.1639046071799036e-05,0.032545758075914116,0.9674542419240858,0.2764482561116183,0.1125421048155755,0.14067611258349147,0.40710007145111343,0,0,1.2030590768459651e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,lm_head,7168,129280,128,1218,0.169921875,17472512,17468416,0.9997655746351756,0.9999883609539282,0.9999896618259729,0.9999896617870091,0.9999917380499898,0.9999894254666408,0.2901523063577532,0.09146047760570579,0.3152154079138577,0.8183070094516551,0.2901523063577532,0.11176792640086654,1.1639046071799036e-05,0.032545758075914116,0.9674542419240858,0.31325483766577933,0.12102958510395703,0.14067611258349147,0.3863614238356536,0,0,1.2030590768459651e-05
Gemma-2-27B,Gemma-2-27B-Instruct,lm_head,4608,256000,1,28,0.006076388888888889,265216,262656,0.9903474903474904,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9967650198986004,0.9973378084477197,0.08144690024304216,0.24408675607126795,2.9968820832088054,0.7623781719748425,0.08144690024304216,0.32016493263309553,0.003521821549843446,0.19552540202039165,0.8044745979796084,0.26104736435009823,0.3918869969829717,0.4530899574875696,1.5012103185129293,1,1,0.004377790869579099
Gemma-2-27B,Gemma-2-27B-Instruct,lm_head,4608,256000,2,56,0.012152777777777778,525824,520704,0.9902629016553067,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9969354240652566,0.9974107685304867,0.1298321361911222,0.26480333177915566,2.0395823372215505,0.8270841206791892,0.1298321361911222,0.32016493263309553,0.003521821549843446,0.19552540202039165,0.8044745979796084,0.29997205758757844,0.40855295589708873,0.4530899574875696,1.3619700420857017,1,1,0.004377790869579099
Gemma-2-27B,Gemma-2-27B-Instruct,lm_head,4608,256000,4,113,0.024522569444444444,1047040,1046016,0.9990220048899755,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9971382733513025,0.9974613107403908,0.18742996821497496,0.27915448761960404,1.4893802217339362,0.8719083796085536,0.18742996821497496,0.32016493263309553,0.003521821549843446,0.19552540202039165,0.8044745979796084,0.34630805034946444,0.42009809622237615,0.4530899574875696,1.2130763226510302,1,1,0.004377790869579099
Gemma-2-27B,Gemma-2-27B-Instruct,lm_head,4608,256000,8,226,0.04904513888888889,2089472,2087424,0.9990198480764518,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9973298684448392,0.9974997496352244,0.2418322401146272,0.2900689801029965,1.1994636445723916,0.9059985980270094,0.2418322401146272,0.32016493263309553,0.003521821549843446,0.19552540202039165,0.8044745979796084,0.3900732961651145,0.42887852817510475,0.4530899574875696,1.0994818983803607,1,1,0.004377790869579099
