model_a,model_b,matrix_kind,hidden_dim,vocab,baseline_rank_w,baseline_w_params,baseline_w_gain,identity_R2,delta_over_Yc_energy,full_affine_gain_over_delta,residual_gain_over_delta,same_budget_hybrid_gain,same_budget_rank_affine,same_budget_rank_residual_w,same_budget_hybrid_params,same_budget_mode,same_budget_gain_over_w,same_budget_param_ratio,match_hybrid_params,match_rank_affine,match_rank_residual_w,match_hybrid_gain,match_mode,match_param_ratio_over_w,match_param_saving
Gemma-2-2B,Gemma-2-2B-Instruct,lm_head,2304,256000,2,518912,0.275238037109375,0.9989458769818493,0.0010541230181506573,0.3685498521808143,0.631449765319352,0.4060799926519394,56,1,518656,decomposed_hybrid,1.4753774475239771,0.9995066600888012,112896,24,0,0.2763844132423401,decomposed_hybrid,0.21756290083867785,0.7824370991613221
Gemma-2-2B,Gemma-2-2B-Instruct,lm_head,2304,256000,4,1035520,0.3393592834472656,0.9989458769818493,0.0010541230181506573,0.3685498521808143,0.631449765319352,0.4396860748529434,112,2,1035008,decomposed_hybrid,1.2956359124363486,0.9995055624227441,297472,8,1,0.34146353602409363,decomposed_hybrid,0.2872682323856613,0.7127317676143388
Gemma-2-2B,Gemma-2-2B-Instruct,lm_head,2304,256000,8,2068736,0.39636412262916565,0.9989458769818493,0.0010541230181506573,0.3685498521808143,0.631449765319352,0.4794476330280304,168,5,2067968,decomposed_hybrid,1.2096141039399695,0.9996287588169781,444928,40,1,0.3966112583875656,decomposed_hybrid,0.21507239203068926,0.7849276079693107
Gemma-2-2B,Gemma-2-2B-Instruct,lm_head,2304,256000,16,4135168,0.4501577317714691,0.9989458769818493,0.0010541230181506573,0.3685498521808143,0.631449765319352,0.5183803588151932,280,11,4133888,decomposed_hybrid,1.1515527163673345,0.999690459976475,1233408,99,3,0.4502362310886383,decomposed_hybrid,0.29827276666873026,0.7017272333312697
Gemma-2-2B,Gemma-2-2B-Instruct,lm_head,2304,256000,32,8268032,0.5050368309020996,0.9989458769818493,0.0010541230181506573,0.3685498521808143,0.631449765319352,0.5598621219396591,504,23,8265728,decomposed_hybrid,1.1085570154153515,0.9997213363470291,3276032,262,8,0.5050583183765411,decomposed_hybrid,0.39622875189646095,0.6037712481035391
Gemma-2-2B,Gemma-2-2B-Instruct,lm_head,2304,256000,64,16533760,0.5639730095863342,0.9989458769818493,0.0010541230181506573,0.3685498521808143,0.631449765319352,0.6068014204502106,728,51,16530432,decomposed_hybrid,1.0759405328550924,0.9997987148718743,8823808,513,25,0.5639996379613876,decomposed_hybrid,0.5336842920182705,0.4663157079817295
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,lm_head,8192,152064,1,168448,0.3458186984062195,0.9986657799103109,0.0013342200896891412,0.4805339112077239,0.5194366994475622,0.3737380802631378,9,0,155648,decomposed_hybrid,1.0807341592157709,0.9240121580547113,57344,3,0,0.35174500942230225,decomposed_hybrid,0.3404255319148936,0.6595744680851063
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,lm_head,8192,152064,2,328704,0.3838179111480713,0.9986657799103109,0.0013342200896891412,0.4805339112077239,0.5194366994475622,0.40411425195634365,9,1,315904,decomposed_hybrid,1.052880129401888,0.9610591900311527,233984,4,1,0.38797024451196194,decomposed_hybrid,0.7118380062305296,0.2881619937694704
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,lm_head,8192,152064,4,649216,0.40301981568336487,0.9986657799103109,0.0013342200896891412,0.4805339112077239,0.5194366994475622,0.4271574467420578,19,2,640000,decomposed_hybrid,1.0598919212390707,0.9858044164037855,315904,9,1,0.40411425195634365,decomposed_hybrid,0.4865930599369085,0.5134069400630915
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,lm_head,8192,152064,8,1290240,0.425934761762619,0.9986657799103109,0.0013342200896891412,0.4805339112077239,0.5194366994475622,0.4469987265765667,39,4,1288192,decomposed_hybrid,1.0494535001716694,0.9984126984126984,623616,18,2,0.42626212537288666,decomposed_hybrid,0.48333333333333334,0.5166666666666666
