model_a,model_b,matrix_kind,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy,mean_shift_over_raw_delta,centered_delta_over_raw_delta,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,full_affine_update_gain_over_raw,rank_affine_gain_over_w_gain_raw,affine_wins_centered,affine_wins_raw
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,60,2048,1.0,9241088,8390656,0.9079727408720705,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998158176407584,0.9997321509213508,0.6931824348378856,0.5538074195570127,0.7989345830532067,1.0,0.6931824348378856,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7291801449677342,0.6061574574839129,0.6061574574839129,0.8312862900439164,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,61,2048,1.0,9395072,8390656,0.8930911865284268,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998163226532961,0.9997321509213508,0.6940237027955202,0.5538074195570127,0.7979661462948344,1.0,0.6940237027955202,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.729922710231915,0.6061574574839129,0.6061574574839129,0.8304406055420872,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,62,2048,1.0,9549056,8390656,0.8786895793678454,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998168233253929,0.9997321509213508,0.6948577402913533,0.5538074195570127,0.7970083478163483,1.0,0.6948577402913533,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7306588933562209,0.6061574574839129,0.6061574574839129,0.8296038862944363,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,63,2048,1.0,9703040,8390656,0.8647450695864389,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998173222971107,0.9997321509213508,0.6956889452351406,0.5538074195570127,0.7960560870632027,1.0,0.6956889452351406,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7313925762607822,0.6061574574839129,0.6061574574839129,0.8287716845348235,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,64,2048,1.0,9857024,8390656,0.8512362351963433,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998178143778194,0.9997321509213508,0.6965086708890575,0.5538074195570127,0.7951192033978643,1.0,0.6965086708890575,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7321161266958518,0.6061574574839129,0.6061574574839129,0.8279526094030889,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,65,2048,1.0,10011008,8390656,0.8381429722161844,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998183011336571,0.9997321509213508,0.6973195261826203,0.5538074195570127,0.7941946249357955,1.0,0.6973195261826203,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7328318474954051,0.6061574574839129,0.6061574574839129,0.8271439888366936,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,66,2048,1.0,10164992,8390656,0.8254463948422193,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998187832358263,0.9997321509213508,0.6981226292284785,0.5538074195570127,0.7932810030367389,1.0,0.6981226292284785,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7335407255882885,0.6061574574839129,0.6061574574839129,0.8263446545490488,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,67,2048,1.0,10318976,8390656,0.8131287445575995,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998192543750262,0.9997321509213508,0.6989074697677248,0.5538074195570127,0.7923901854147665,1.0,0.6989074697677248,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7342334838433442,0.6061574574839129,0.6061574574839129,0.8255649882799985,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,68,2048,1.0,10472960,8390656,0.8011733072598387,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998197238138471,0.9997321509213508,0.6996894777549252,0.5538074195570127,0.7915045704760342,1.0,0.6996894777549252,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7349237418786552,0.6061574574839129,0.6061574574839129,0.8247895978083627,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,69,2048,1.0,10626944,8390656,0.7895643375931971,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998201861826714,0.9997321509213508,0.7004597082888822,0.5538074195570127,0.7906342263566895,1.0,0.7004597082888822,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7356036042634487,0.6061574574839129,0.6061574574839129,0.8240273076025114,0,0
