family,size,model_a,matrix_kind,rank_w,same_budget_gain_over_w,same_budget_mode,same_budget_rank_affine,same_budget_rank_residual_w,match_param_ratio_over_w,match_param_saving,match_mode,match_rank_affine,match_rank_residual_w,baseline_w_gain,same_budget_hybrid_gain,match_hybrid_gain
Qwen3,14B,Qwen3-14B-Base,lm_head,2,2.8798863111788937,decomposed_hybrid,30.0,0.0,0.11226944667201283,0.8877305533279871,decomposed_hybrid,3.0,0.0,0.053874894976615906,0.1551535725593567,0.06027551367878914
Qwen3,14B,Qwen3-14B-Base,lm_head,4,2.2036878126971122,decomposed_hybrid,61.0,0.0,0.10509296685529507,0.8949070331447049,decomposed_hybrid,6.0,0.0,0.08349963277578354,0.18400712311267853,0.0877997875213623
Qwen3,14B,Qwen3-14B-Base,lm_head,8,1.74079808580445,decomposed_hybrid,107.0,1.0,0.1176948051948052,0.8823051948051948,decomposed_hybrid,14.0,0.0,0.12036596238613129,0.2095328369177878,0.1233532577753067
Qwen3,14B,Qwen3-14B-Base,lm_head,16,1.4754461968871946,decomposed_hybrid,184.0,4.0,0.14843432289548597,0.851565677104514,decomposed_hybrid,36.0,0.0,0.16194021701812744,0.23893407732248306,0.16262362897396088
Qwen3,14B,Qwen3-14B-Base,lm_head,32,1.2913912735129196,decomposed_hybrid,291.0,13.0,0.254096275188276,0.745903724811724,decomposed_hybrid,109.0,1.0,0.21002736687660217,0.27122750878334045,0.21016841614618897
Qwen3,14B,Qwen3-14B-Base,lm_head,64,1.1714205071282584,decomposed_hybrid,460.0,34.0,0.45603808166174525,0.5439619183382547,decomposed_hybrid,294.0,10.0,0.26647821068763733,0.312158040702343,0.26649777591228485
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,lm_head,1,4.265433273817615,decomposed_hybrid,121.0,0.0,0.02044989775051125,0.9795501022494888,decomposed_hybrid,2.0,0.0,0.02217266336083412,0.09457601606845856,0.023697353899478912
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,lm_head,2,2.637307895959579,decomposed_hybrid,121.0,1.0,0.02663934426229508,0.9733606557377049,decomposed_hybrid,6.0,0.0,0.04020819440484047,0.10604138858616352,0.0405418835580349
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,lm_head,4,1.9875643369964207,decomposed_hybrid,243.0,2.0,0.0441025641025641,0.9558974358974359,decomposed_hybrid,21.0,0.0,0.06268264353275299,0.12458578683435917,0.06323762238025665
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,lm_head,8,1.5778056290215896,decomposed_hybrid,365.0,5.0,0.12775782452539763,0.8722421754746024,decomposed_hybrid,124.0,0.0,0.09485430270433426,0.14966165274381638,0.09493868052959442
