model_a,model_b,bootstrap,align_mode,n_tokens,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos,gcorr_E_euc,gcorr_E_euc2,gcorr_U_cos,gcorr_U_euc,gcorr_U_euc2
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,98,string,20000,5000000,2048,2048,151936,248320,False,False,0.37856394911053215,0.7199443013695042,0.7247547461873993,0.7414409069052368,0.7727970050426323,0.7887285362245436
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,99,string,20000,5000000,2048,2048,151936,248320,False,False,0.37718585156627094,0.6999262943603737,0.7077790433555323,0.7257952607177945,0.7604348337758655,0.7805650301726244
Qwen3-30B-A3B,Qwen3.6-35B-A3B,4,string,20000,5000000,2048,2048,151936,248320,False,False,0.3823516807282977,0.7051222842761127,0.7118359670823111,0.7415142180893097,0.7567843420071371,0.7741565821658006
Qwen3-30B-A3B,Qwen3.6-35B-A3B,0,string,20000,5000000,2048,2048,151936,248320,False,False,0.3791544103078031,0.710075600054151,0.7169746731971616,0.7474246773303933,0.7541567533909443,0.7709356942221316
Qwen3-30B-A3B,Qwen3.6-35B-A3B,5,string,20000,5000000,2048,2048,151936,248320,False,False,0.37815928308935354,0.7170472851963935,0.7222838086865715,0.7486605909641866,0.7640461194528896,0.7800282116621535
Qwen3-30B-A3B,Qwen3.6-35B-A3B,7,string,20000,5000000,2048,2048,151936,248320,False,False,0.381360145900247,0.7118621513852886,0.7181681941607047,0.7419320713607107,0.7553536846235466,0.7724286651001541
Qwen3-30B-A3B,Qwen3.6-35B-A3B,3,string,20000,5000000,2048,2048,151936,248320,False,False,0.37900539020100177,0.7180873164565608,0.7238368885299323,0.7496142551207383,0.7552367343001781,0.7720978521519452
Qwen3-30B-A3B,Qwen3.6-35B-A3B,6,string,20000,5000000,2048,2048,151936,248320,False,False,0.3793153809694494,0.7138338180206949,0.7195907794953712,0.743586161633441,0.7582738779654459,0.774860937244145
Qwen3-30B-A3B,Qwen3.6-35B-A3B,2,string,20000,5000000,2048,2048,151936,248320,False,False,0.37920373703529714,0.7199923168627951,0.7246207599478034,0.749202066459085,0.7604755213816502,0.7765031850059365
Qwen3-30B-A3B,Qwen3.6-35B-A3B,1,string,20000,5000000,2048,2048,151936,248320,False,False,0.38037772503697337,0.7103459178135972,0.7164852184135911,0.7477869989295381,0.7522306559145044,0.7692687025843583
Qwen3-30B-A3B,Qwen3.6-35B-A3B,8,string,20000,5000000,2048,2048,151936,248320,False,False,0.3814524069440491,0.7131581124962517,0.7190964768586361,0.7500033158845473,0.7595202251037478,0.7754405357221091
Qwen3-30B-A3B,Qwen3.6-35B-A3B,9,string,20000,5000000,2048,2048,151936,248320,False,False,0.3793702494319912,0.7113318474479384,0.716785987006971,0.7471856815564355,0.7629028948507954,0.7784477606197697
Qwen3-30B-A3B,Qwen3.6-35B-A3B,10,string,20000,5000000,2048,2048,151936,248320,False,False,0.3800052046059454,0.7117569035744037,0.7177086239763516,0.7466921256866889,0.7538751373325603,0.7705544509250459
Qwen3-30B-A3B,Qwen3.6-35B-A3B,13,string,20000,5000000,2048,2048,151936,248320,False,False,0.3794126476224409,0.6977047059025978,0.7053989046421065,0.7435333268599085,0.7536134001986464,0.7709066435481499
