model_a,model_b,bootstrap,align_mode,n_tokens,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos,gcorr_E_euc,gcorr_E_euc2,gcorr_U_cos,gcorr_U_euc,gcorr_U_euc2
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,18,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975741419386,0.9999998408161128,0.9999998228696768,0.9999930247620089,0.9999991653188466,0.9999991243905706
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,23,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975506226438,0.9999998354703555,0.9999998170671622,0.9999930959752957,0.9999991855335754,0.999999148468296
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,22,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975388497898,0.9999998347872754,0.99999981644834,0.9999932380298938,0.999999195773025,0.9999991555079455
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,24,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975313284026,0.9999998354314307,0.9999998166421953,0.9999928875610453,0.9999991618927041,0.9999991232534713
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,25,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975792235751,0.9999998372095863,0.9999998190526842,0.9999930826889707,0.9999991798776676,0.9999991398866128
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,26,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975366132098,0.9999998331344983,0.9999998135383312,0.9999934304839169,0.999999193621093,0.9999991544734051
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,27,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975553099514,0.9999998352839545,0.9999998169862433,0.999993128940432,0.9999991989921032,0.9999991643121838
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,29,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975421009178,0.9999998361232445,0.9999998182183805,0.9999931098895793,0.9999991770370068,0.9999991388765777
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,28,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975532117831,0.9999998357242557,0.9999998177791114,0.9999929815187902,0.999999155909902,0.9999991165632167
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,30,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975553661875,0.9999998348402938,0.9999998159697867,0.9999931798776344,0.9999991861074619,0.9999991507843329
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,31,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975490743682,0.9999998354678784,0.9999998165079246,0.9999930879697495,0.9999991616424838,0.9999991226146834
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,32,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975385244569,0.9999998345112969,0.9999998164242366,0.9999930750114566,0.9999991578508938,0.9999991222857548
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,33,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975543988628,0.9999998365693382,0.9999998176355592,0.99999293639828,0.9999991449565379,0.9999991071460103
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,34,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975431566694,0.9999998384242811,0.9999998202201833,0.9999930091864561,0.9999991895227909,0.9999991521981225
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,35,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975690811465,0.9999998387000067,0.9999998202036221,0.9999932231093328,0.9999991769307104,0.9999991363857957
