model_a,model_b,source_tasks,align_mode,n_common,n_fit,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,R2_E,rel_err_E,norm_A_E,norm_b_E,R2_U,rel_err_U,norm_A_U,norm_b_U
Qwen2.5-3B-Instruct,Qwen2.5-32B-Instruct,task2_model_series,string,151643,24000,2048,5120,151936,152064,True,False,0.2166986877723983,0.8836957962341396,24.776697158813477,0.19021674990653992,0.2543345888520092,0.8536799401574298,28.011381149291992,0.1421019285917282
Qwen2.5-3B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,string,151643,24000,2048,8192,151936,152064,True,False,0.25559079218198744,0.860973935096848,18.043489456176758,0.09606728702783585,0.1742259451493804,0.8858933530458275,16.226211547851562,0.11908172070980072
Qwen2.5-7B-Instruct,Qwen2.5-32B-Instruct,task2_model_series,id,151643,24000,3584,5120,152064,152064,False,False,0.2899807195360026,0.8413395950381002,92.0357894897461,0.03957217559218407,0.35935431008394925,0.7911207723881214,74.67990112304688,0.30166366696357727
Qwen2.5-1.5B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,string,151643,24000,1536,8192,151936,152064,True,False,0.2220144623846214,0.8801970481662843,16.386072158813477,0.12768490612506866,0.13609854632225393,0.9062020482418239,13.878664016723633,0.16056281328201294
Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,id,151643,24000,3584,8192,152064,152064,False,False,0.3113298611332118,0.8280828914454609,61.756893157958984,0.021776795387268066,0.282314729920657,0.8257704506177906,44.76116180419922,0.23889856040477753
Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,id,151643,24000,5120,8192,152064,152064,False,False,0.38794401965182,0.7807194684640758,75.47032165527344,0.027406547218561172,0.37304947790386744,0.771974563524932,34.73161697387695,0.12442076206207275
Qwen2.5-14B-Instruct,Qwen2.5-32B-Instruct,task2_model_series,id,151643,24000,5120,5120,152064,152064,False,False,0.5025460896847738,0.7042309558796536,102.16435241699219,0.025527169927954674,0.6690877235012821,0.5685742788801434,61.63839340209961,0.0865139290690422
Qwen2.5-32B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,id,151643,24000,5120,8192,152064,152064,False,False,0.39213886995142755,0.7780394586397644,77.31031036376953,0.030289320275187492,0.3870992956682926,0.7632756656317853,34.00545883178711,0.11874569207429886
Qwen3-0.6B,Qwen3-1.7B,task2_model_series,id,151643,24000,1024,2048,151936,151936,True,True,0.3270055211138101,0.7998857576964816,30.791399002075195,0.22622685134410858,0.3270055211138101,0.7998857576964816,30.791399002075195,0.22622685134410858
Qwen3-0.6B,Qwen3-4B,task2_model_series,id,151643,24000,1024,2560,151936,151936,True,True,0.23924857790865695,0.8368326947097331,18.51326560974121,0.1762283742427826,0.23924857790865695,0.8368326947097331,18.51326560974121,0.1762283742427826
Qwen3-0.6B,Qwen3-14B,task2_model_series,id,151643,24000,1024,5120,151936,151936,True,False,0.14888008539651842,0.9134437151778171,18.123563766479492,0.407354474067688,0.1527073609487909,0.9114848612755881,21.00694465637207,0.20438788831233978
Qwen3-0.6B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,1024,2048,151936,151936,True,False,0.20618985202469775,0.8871157474813887,14.625798225402832,0.1700887531042099,0.2658514272421255,0.8263178652768404,21.063270568847656,0.1661251336336136
Qwen3-0.6B,Qwen3-32B,task2_model_series,id,151643,24000,1024,5120,151936,151936,True,False,0.1566121007146244,0.9084144465954519,18.06110191345215,0.39523711800575256,0.14703983353525507,0.9115478974251399,19.099788665771484,0.19026190042495728
Qwen3-1.7B,Qwen3-4B,task2_model_series,id,151643,24000,2048,2560,151936,151936,True,True,0.38276368544094796,0.7539780491862681,19.198532104492188,0.18500520288944244,0.38276368544094796,0.7539780491862681,19.198532104492188,0.18500520288944244
